date,state,checkins,unique_ind,unique_loc,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
2020-12-06,Kedah,742227.0,370282.0,31436.0,17.0,0.0,26.0,265.0,9.0,17.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,1.0,0.0,0.0,8.0,1.0,4.0,1.0,2.0,0.0,0.0
2020-12-06,Kelantan,219001.0,123206.0,17434.0,2.0,0.0,11.0,118.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-12-06,Melaka,581318.0,248213.0,14196.0,3.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-12-06,Negeri Sembilan,567868.0,263960.0,15228.0,258.0,0.0,85.0,928.0,253.0,258.0,0.0,0.0,0.0,1.0,0.0,193.0,1.0,1.0,0.0,0.0,106.0,65.0,17.0,5.0,1.0,0.0,0.0
2020-12-06,Pahang,615515.0,270257.0,17521.0,4.0,0.0,0.0,30.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
2020-12-06,Perak,1015143.0,461134.0,31829.0,108.0,0.0,119.0,460.0,98.0,108.0,0.0,0.0,0.0,2.0,1.0,102.0,3.0,1.0,1.0,1.0,50.0,42.0,7.0,3.0,2.0,1.0,0.0
2020-12-06,Perlis,136478.0,82688.0,4815.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,Pulau Pinang,1196844.0,509617.0,27436.0,31.0,0.0,48.0,283.0,20.0,31.0,0.0,0.0,0.0,1.0,1.0,29.0,0.0,0.0,1.0,1.0,22.0,6.0,1.0,0.0,0.0,0.0,0.0
2020-12-06,Sabah,730460.0,288743.0,21150.0,250.0,0.0,193.0,2809.0,84.0,250.0,0.0,0.0,0.0,32.0,23.0,169.0,24.0,9.0,23.0,23.0,57.0,39.0,39.0,34.0,17.0,6.0,1.0
2020-12-06,Sarawak,1426606.0,497969.0,24109.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,Selangor,4258686.0,1919658.0,79280.0,337.0,2.0,240.0,3700.0,210.0,337.0,0.0,0.0,0.0,16.0,3.0,312.0,5.0,7.0,9.0,3.0,171.0,101.0,27.0,13.0,4.0,1.0,0.0
2020-12-06,Terengganu,247572.0,132720.0,14878.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,W.P. Kuala Lumpur,,,,178.0,1.0,314.0,1392.0,84.0,178.0,0.0,0.0,0.0,0.0,2.0,167.0,2.0,0.0,0.0,2.0,51.0,80.0,29.0,7.0,2.0,0.0,0.0
2020-12-06,W.P. KualaLumpur,3551865.0,1525309.0,55158.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,W.P. Labuan,46252.0,20304.0,1080.0,21.0,0.0,11.0,289.0,8.0,21.0,0.0,0.0,0.0,1.0,0.0,16.0,4.0,0.0,1.0,0.0,5.0,11.0,0.0,0.0,4.0,0.0,0.0
